album_sheet,number,excel_row,registry_name,doc_number,organization,original_status,found_name,folder,drive_url,original_note,final_status,placeholder,final_note,album_page_start,album_page_end,component_files,sources,archive_candidates
кронштейны,11,30,Исполнительная схема монтажа кронштейнов на фасаде в/о 17-1/Т (лист 4),,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 17-1_Т лист 4.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1g6QxbBOGAlZpLld6nxj-LfohvFtjH5fj/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,17,17,011__ИС кронштейнов на фасаде в_о 17-1_Т лист 4.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1g6QxbBOGAlZpLld6nxj-LfohvFtjH5fj_ИС кронштейнов на фасаде в_о 17-1_Т лист 4.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 17-1_Т лист 4.pdf"", ""pages"": [], ""drive_id"": ""1g6QxbBOGAlZpLld6nxj-LfohvFtjH5fj"", ""sha256"": ""29ee369d15efa12b153c28e5d97a8e915094d7d305ba098aa48fbadc356e5848"", ""page_count"": 1}]",
кронштейны,12,31,Исполнительная схема монтажа кронштейнов на фасаде в/о 17-1/Т (лист 5),,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 17-1_Т лист 5.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1ZxxXd9osi5DAM-ibWXMmolW9zQMxE4DK/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,18,18,012__ИС кронштейнов на фасаде в_о 17-1_Т лист 5.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1ZxxXd9osi5DAM-ibWXMmolW9zQMxE4DK_ИС кронштейнов на фасаде в_о 17-1_Т лист 5.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 17-1_Т лист 5.pdf"", ""pages"": [], ""drive_id"": ""1ZxxXd9osi5DAM-ibWXMmolW9zQMxE4DK"", ""sha256"": ""072d0f1f4a6eb053a419976bee12e786c671106404e50232a27aa470146610a4"", ""page_count"": 1}]",
кронштейны,13,32,Исполнительная схема монтажа кронштейнов на фасаде в/о 17-1/Т. Узлы,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 17-1_Т. Узлы.pdf,Анохин / Фасад в осях 17-1_Т,https://drive.google.com/file/d/1q5nEk8YQoiz8hvDqo8bxxBM_xTySVJID/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,19,19,013__ИС кронштейнов на фасаде в_о 17-1_Т. Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1q5nEk8YQoiz8hvDqo8bxxBM_xTySVJID_ИС кронштейнов на фасаде в_о 17-1_Т. Узлы.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 17-1_Т. Узлы.pdf"", ""pages"": [], ""drive_id"": ""1q5nEk8YQoiz8hvDqo8bxxBM_xTySVJID"", ""sha256"": ""685ad64b757121417c2fbd108e0decea1bda3b21ae4e0d2fed0f42b6690ebea2"", ""page_count"": 1}]",
кронштейны,14,33,Исполнительная схема монтажа кронштейнов на фасаде в/о 2/Ж-Г,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 2_Ж-Г.pdf,Анохин / Фасад в осях 2_Ж-Г,https://drive.google.com/file/d/1uYNfP08iUGspEU038Wsd-oqjcZxot7ac/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,20,20,014__ИС кронштейнов на фасаде в_о 2_Ж-Г.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1uYNfP08iUGspEU038Wsd-oqjcZxot7ac_ИС кронштейнов на фасаде в_о 2_Ж-Г.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 2_Ж-Г.pdf"", ""pages"": [], ""drive_id"": ""1uYNfP08iUGspEU038Wsd-oqjcZxot7ac"", ""sha256"": ""6be956f1cb27df62e817008aba2972e8a3d7603678382828a5c3619e6982eb2b"", ""page_count"": 1}]",
кронштейны,15,34,Исполнительная схема монтажа кронштейнов на фасаде в/о 2-7/В-Г,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 2-7_В-Г.pdf,Анохин / Фасад в осях 2-7_В-Г,https://drive.google.com/file/d/1wdCD62zpx24n0sLVZ8pBAUfn7_1OBc-X/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,21,21,015__ИС кронштейнов на фасаде в_о 2-7_В-Г.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1wdCD62zpx24n0sLVZ8pBAUfn7_1OBc-X_ИС кронштейнов на фасаде в_о 2-7_В-Г.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 2-7_В-Г.pdf"", ""pages"": [], ""drive_id"": ""1wdCD62zpx24n0sLVZ8pBAUfn7_1OBc-X"", ""sha256"": ""966f42149eaef9d90ecb819a4e478ec9ed8396c3f9ddca0e7199db483099fba8"", ""page_count"": 1}]",
кронштейны,16,35,Исполнительная схема монтажа кронштейнов на фасаде в/о 2-7/В-Г. Узлы,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 2-7_В-Г. Узлы.pdf,Анохин / Фасад в осях 2-7_В-Г,https://drive.google.com/file/d/19mmHpXsGdrjuhDvdFSlZJ2EYal2Z1AQ0/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,22,22,016__ИС кронштейнов на фасаде в_о 2-7_В-Г. Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/19mmHpXsGdrjuhDvdFSlZJ2EYal2Z1AQ0_ИС кронштейнов на фасаде в_о 2-7_В-Г. Узлы.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 2-7_В-Г. Узлы.pdf"", ""pages"": [], ""drive_id"": ""19mmHpXsGdrjuhDvdFSlZJ2EYal2Z1AQ0"", ""sha256"": ""31e07c098a191e4f5083c36dbe6d9bef0bcf9cd51db5febda65fee1c03d84dae"", ""page_count"": 1}]",
кронштейны,17,36,Исполнительная схема монтажа кронштейнов на фасаде в/о 2/Т-И и 3-6/И,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / ПРОВЕРИТЬ,ИС кронштейнов на фасаде в_о 3_Т-И.pdf,Анохин / Фасад в осях 3_Т-И,https://drive.google.com/file/d/1Ktzce0zEAgl3LI1QSm3EetkZrKB_kqaH/view?usp=drivesdk,Частичное совпадение: в реестре оси 2/Т-И и 3-6/И; в архиве найден комплект по фасаду 3_Т-И.,ЧАСТИЧНОЕ СООТВЕТСТВИЕ — ЗАГЛУШКА + КАНДИДАТ,True,Частичное совпадение: в реестре оси 2/Т-И и 3-6/И; в архиве найден комплект по фасаду 3_Т-И.,23,24,017_00_PLACEHOLDER.pdf | 017__ИС кронштейнов на фасаде в_о 3_Т-И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1Ktzce0zEAgl3LI1QSm3EetkZrKB_kqaH_ИС кронштейнов на фасаде в_о 3_Т-И.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 3_Т-И.pdf"", ""pages"": [], ""drive_id"": ""1Ktzce0zEAgl3LI1QSm3EetkZrKB_kqaH"", ""sha256"": ""ee42aa1ce3959ce7ae0e27fde5594644ff14511099d5b628c5aa14b2da373778"", ""page_count"": 1}]",
кронштейны,18,37,Исполнительная схема монтажа кронштейнов на фасаде в/о 2/Т-И и 3-6/И. Узлы,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / ПРОВЕРИТЬ,ИС кронштейнов на фасаде в_о 3_Т-И. Узлы.pdf,Анохин / Фасад в осях 3_Т-И,https://drive.google.com/file/d/1CFWSs9-9u8aDXcWxTFZe88wWt0Z4_kL5/view?usp=drivesdk,Частичное совпадение: в реестре оси 2/Т-И и 3-6/И; в архиве найден комплект по фасаду 3_Т-И.,"НАЙДЕНО, НАЛИЧИЕ УЗЛОВ ПОДТВЕРЖДЕНО",False,OCR выявил обозначение узлов на листе,25,25,018__ИС кронштейнов на фасаде в_о 3_Т-И. Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1CFWSs9-9u8aDXcWxTFZe88wWt0Z4_kL5_ИС кронштейнов на фасаде в_о 3_Т-И. Узлы.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 3_Т-И. Узлы.pdf"", ""pages"": [], ""drive_id"": ""1CFWSs9-9u8aDXcWxTFZe88wWt0Z4_kL5"", ""sha256"": ""ab9eb751f77ed512431f41875b00d5742fedcc22e849f0ab5c1c1bf604b943c5"", ""page_count"": 1}]",
кронштейны,19,38,Исполнительная схема монтажа кронштейнов на фасаде в/о 5-6/И-Е и 5-7/И,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / ПРОВЕРИТЬ,ИС кронштейнов на фасаде в_о 5-7_Е-И.pdf,Анохин / Фасад в осях 5-7_Е-И,https://drive.google.com/file/d/1JGDslh0-CX17y4DwDSp7sB-slQmdvyZq/view?usp=drivesdk,Частичное совпадение: в реестре оси 5-6/И-Е и 5-7/И; в архиве найден комплект по фасаду 5-7_Е-И.,ЧАСТИЧНОЕ СООТВЕТСТВИЕ — ЗАГЛУШКА + КАНДИДАТ,True,Частичное совпадение: в реестре оси 5-6/И-Е и 5-7/И; в архиве найден комплект по фасаду 5-7_Е-И.,26,27,019_00_PLACEHOLDER.pdf | 019__ИС кронштейнов на фасаде в_о 5-7_Е-И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1JGDslh0-CX17y4DwDSp7sB-slQmdvyZq_ИС кронштейнов на фасаде в_о 5-7_Е-И.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 5-7_Е-И.pdf"", ""pages"": [], ""drive_id"": ""1JGDslh0-CX17y4DwDSp7sB-slQmdvyZq"", ""sha256"": ""9c85793975fabf95fc33fe5512c2a9bb2732da90d1f0754c95915057f3747e21"", ""page_count"": 1}]",
кронштейны,20,39,Исполнительная схема монтажа кронштейнов на фасаде в/о 7/В-И ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 7_В-И.pdf,Анохин / Фасад в осях 7_В-И,https://drive.google.com/file/d/1jLjK8E0_TN3tn2H03ElZvSO5ISN4mqwP/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,28,28,020__ИС кронштейнов на фасаде в_о 7_В-И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1jLjK8E0_TN3tn2H03ElZvSO5ISN4mqwP_ИС кронштейнов на фасаде в_о 7_В-И.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 7_В-И.pdf"", ""pages"": [], ""drive_id"": ""1jLjK8E0_TN3tn2H03ElZvSO5ISN4mqwP"", ""sha256"": ""2be8c9533bd4bfe816d6b2c907f470945729bcf1a830e390b2df84c8cdcc96fc"", ""page_count"": 1}]",
кронштейны,21,40,Исполнительная схема монтажа кронштейнов на фасаде в/о 7/В-И. Узлы,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 7_В-И. Узлы.pdf,Анохин / Фасад в осях 7_В-И,https://drive.google.com/file/d/1mwM8Cf8c8DbuM_kjP1fDUOemAJJoz5oh/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,29,29,021__ИС кронштейнов на фасаде в_о 7_В-И. Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1mwM8Cf8c8DbuM_kjP1fDUOemAJJoz5oh_ИС кронштейнов на фасаде в_о 7_В-И. Узлы.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 7_В-И. Узлы.pdf"", ""pages"": [], ""drive_id"": ""1mwM8Cf8c8DbuM_kjP1fDUOemAJJoz5oh"", ""sha256"": ""f5857b347f3848ebf870153ba6737896dcefe5556ac230bb1abbd41b628ceb6c"", ""page_count"": 1}]",
кронштейны,22,41,Исполнительная схема монтажа кронштейнов на фасаде в/о 7-13/И ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 7-13_И.pdf,Анохин / Фасад в осях 7-13_И,https://drive.google.com/file/d/1Fqe9E7zc8Apsf3uUI0CLDaWBmqwlczZj/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,30,30,022__ИС кронштейнов на фасаде в_о 7-13_И.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1Fqe9E7zc8Apsf3uUI0CLDaWBmqwlczZj_ИС кронштейнов на фасаде в_о 7-13_И.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 7-13_И.pdf"", ""pages"": [], ""drive_id"": ""1Fqe9E7zc8Apsf3uUI0CLDaWBmqwlczZj"", ""sha256"": ""5a8c2aa52c18d25bd55003f5ee21eb86c4e597933513c1c45e9cc47e9e3be508"", ""page_count"": 1}]",
кронштейны,23,42,Исполнительная схема монтажа кронштейнов на фасаде в/о 12-15/В-А ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 12-15_В-А.pdf,Анохин / Фасад в осях 12-15_В-А,https://drive.google.com/file/d/1rUiBFoS8pMiaYgUsjTUQK8Ct2jn9pa_h/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,31,31,023__ИС кронштейнов на фасаде в_о 12-15_В-А.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1rUiBFoS8pMiaYgUsjTUQK8Ct2jn9pa_h_ИС кронштейнов на фасаде в_о 12-15_В-А.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 12-15_В-А.pdf"", ""pages"": [], ""drive_id"": ""1rUiBFoS8pMiaYgUsjTUQK8Ct2jn9pa_h"", ""sha256"": ""c2f6d707e88e0cb91871603b06157f8025f1b86cc4057b5225629eca4d77907f"", ""page_count"": 1}]",
кронштейны,24,43,Исполнительная схема монтажа кронштейнов на фасаде в/о 13-17/В-А ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 13-17_В-А.pdf,Анохин / Фасад в осях 13-17_В-А,https://drive.google.com/file/d/1VyGnGUKc76x5iXLP_xoBLhxB6umokP9h/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,32,32,024__ИС кронштейнов на фасаде в_о 13-17_В-А.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/1VyGnGUKc76x5iXLP_xoBLhxB6umokP9h_ИС кронштейнов на фасаде в_о 13-17_В-А.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 13-17_В-А.pdf"", ""pages"": [], ""drive_id"": ""1VyGnGUKc76x5iXLP_xoBLhxB6umokP9h"", ""sha256"": ""520bbd4d076f61695bebfd2ae27459fcbb1b4c9bc704f0e22945165cc98a319d"", ""page_count"": 1}]",
кронштейны,25,44,Исполнительная схема монтажа кронштейнов на фасаде в/о 12-17/В-А. Узлы ,,"ООО ""ОСВ-Строй""",НАЙДЕНО В DRIVE / НЕ ВЫГРУЖЕНО В PDF,ИС кронштейнов на фасаде в_о 12-17_В-А  Узлы.pdf,Анохин / Фасад в осях 12-17_В-А,https://drive.google.com/file/d/148d-ZvrO7E1z1E4m31SatmAK1keCh_cu/view?usp=drivesdk,,НАЙДЕНО И ПОДШИТО,False,,33,33,025__ИС кронштейнов на фасаде в_о 12-17_В-А Узлы.pdf,"[{""path"": ""/home/runner/work/Graf/Graf/.work_sh550/downloads/148d-ZvrO7E1z1E4m31SatmAK1keCh_cu_ИС кронштейнов на фасаде в_о 12-17_В-А Узлы.pdf"", ""label"": ""ИС кронштейнов на фасаде в_о 12-17_В-А  Узлы.pdf"", ""pages"": [], ""drive_id"": ""148d-ZvrO7E1z1E4m31SatmAK1keCh_cu"", ""sha256"": ""11fe72ac539b4fc7c4fb0988908361b2d31938b6f1677252b19a1b3008c342a4"", ""page_count"": 1}]",
